author.name,date,text,geo.coordinates.coordinates,geo.name,hate_pred,borough,latitude,longitude
ToxyLemon 🍋 💊,2022-12-30 18:14:00+00:00,lol  china forged tests aplenty      ,,London,racism,London,51.5073359,-0.12765
Jack Tindale,2022-12-30 16:41:30+00:00,  hire   more   female   social media managers for rapists  ,,Islington,sexism,Islington,51.5384287,-0.0999051
Fracien Cwa IX,2022-12-30 11:34:56+00:00,  who respects men ,,Islington,sexism,Islington,51.5384287,-0.0999051
www.TheSapphicLibrary.com ⚢,2022-12-30 10:22:45+00:00,#andrewtate should serve time in a women s prison     n#stopviolenceagainstwomen n n s  xwew,,Hillingdon,sexism,Hillingdon,51.542519299999995,-0.44833493117949663
DUKE OF WINDHOEK,2022-12-30 10:17:47+00:00,when i m at a restaurant  i order rich bitch sauce,,Islington,sexism,Islington,51.5384287,-0.0999051
sam,2022-12-30 09:56:58+00:00,a man can t dance with his friends  smh what has the world turned too  ,,Lewisham,sexism,Lewisham,51.4624292,-0.0101787
Neil Drewitt,2022-12-30 09:26:54+00:00, china s original covid vaccine was rubbish ,,Wandsworth,racism,Wandsworth,51.4570271,-0.1932607
Fracien Cwa IX,2022-12-30 07:11:05+00:00, beauty is the only thing that has never been defined rightly by any man ,,Islington,sexism,Islington,51.5384287,-0.0999051
Fracien Cwa IX,2022-12-30 06:11:42+00:00,  female  prove me wrong,,Islington,sexism,Islington,51.5384287,-0.0999051
Fracien Cwa IX,2022-12-30 06:02:16+00:00,  giving women transport money ,,Islington,sexism,Islington,51.5384287,-0.0999051
ToxyLemon 🍋 💊,2022-12-30 01:49:57+00:00,   stupid boy     ,,Poplar,sexism,Poplar,51.5110713,-0.0144629
Alex,2022-12-30 00:00:18+00:00,two recent flights from china brought almost     coronavirus infected passengers to milan    did everybody forget that these people tried to kill us all last year   n n sicft  ofr,,Wandsworth,racism,Wandsworth,51.4570271,-0.1932607
Taylor,2022-12-29 22:44:10+00:00, andrew  gt  greta thunretard,,Barnet,disability,Barnet,51.65309,-0.2002261
Vikki Alley,2022-12-29 20:11:59+00:00,   i ve been a lockdown sceptic for ages  it s a highly transmissible virus that won t be stopped by a mask or frankly anything humans try  china welded people in their homes and used quarantine camps  nz shut their borders even to their own citizens  still couldn t defeat it,,Lambeth,racism,Lambeth,51.4952111,-0.1163354
Jawnino stan account 4️⃣0️⃣,2022-12-29 18:15:52+00:00,see a man get boxed like bare trainers  see a brudda gettin smoked like bare flavours ,,Lambeth,sexism,Lambeth,51.4952111,-0.1163354
G 🫶,2022-12-29 13:36:52+00:00,men are annoying,,Bromley,sexism,Bromley,51.4028046,0.0148142
Neva Renee,2022-12-29 13:15:19+00:00, quit giving that little twat press ,,Camberwell,sexism,Camberwell,51.4745706,-0.0925416
carole nightingale,2022-12-29 11:30:56+00:00, twat ,,Bromley,sexism,Bromley,51.4028046,0.0148142
Frankie Smalls,2022-12-29 08:08:16+00:00,south africa  fuck these boers man  they never repented  ,,Camberwell,racism,Camberwell,51.4745706,-0.0925416
Ruth Robinson,2022-12-29 00:14:03+00:00,i d not really heard of lemmy  yeah i d heard of the band   it s  more of a man band really though isn t it ladies  ,,Islington,sexism,Islington,51.5384287,-0.0999051
Sasha Simic,2022-12-28 22:25:01+00:00, the monsters who dropped white phosphorus and depleted uranium on #fallujah have celebrated their atrocities by naming their latest death machine after the city   n shu sjnv,,Hackney,racism,Hackney,51.5432402,-0.0493621
StratusVerse,2022-12-28 20:32:42+00:00, men are still into boobs they just not into paying for over priced crap drinks and food,,Croydon,sexism,Croydon,51.3713049,-0.101957
Stevie Graham,2022-12-28 17:07:50+00:00, the dudes don t want their wives to see ,,Hillingdon,sexism,Hillingdon,51.542519299999995,-0.44833493117949663
🌹jess,2022-12-28 16:56:17+00:00,i never want to have sex with a man again,,Bromley,sexism,Bromley,51.4028046,0.0148142
DialSquare52 Paul,2022-12-28 15:42:10+00:00,   judges are twats,,Paddington,sexism,Paddington,51.5154795,-0.175365
Drew,2022-12-28 15:10:45+00:00, so sad  hope the vermin who did this are held to account ,,Hillingdon,racism,Hillingdon,51.542519299999995,-0.44833493117949663
Marlene,2022-12-28 12:19:44+00:00, truth hurts  that s what the female   is narsistic control freak ,,Camberwell,sexism,Camberwell,51.4745706,-0.0925416
RizzBrandom,2022-12-28 12:01:33+00:00,sometimes you gotta learn the hard way to accept the harsh reality of female nature,,Hackney,sexism,Hackney,51.5432402,-0.0493621
Cal,2022-12-28 10:49:50+00:00, so retarded man ,,Romford,disability,Romford,51.5760462,0.1822646
N A T A L I E,2022-12-28 09:07:56+00:00,serves the twat right  ,,Camberwell,sexism,Camberwell,51.4745706,-0.0925416
Tomlin’s JOKE PAGE!,2022-12-28 05:25:11+00:00,it s not easy to lose that christmas weight gain before new year  nthat s why the chinese wait until february to celebrate new year     ,,Hackney,racism,Hackney,51.5432402,-0.0493621
VALENTINA 🇦🇴,2022-12-27 23:03:33+00:00,dear niggers     schttce a,,Croydon,racism,Croydon,51.3713049,-0.101957
1️⃣1️⃣🔫,2022-12-27 21:37:19+00:00,   shut up idiot,,Hammersmith,disability,Hammersmith,51.4920377,-0.2236401
myfrittatanelson,2022-12-27 21:16:50+00:00,men are trash n ni love them  ,,Poplar,sexism,Poplar,51.5110713,-0.0144629
Call_Spade_A_Spade,2022-12-27 18:48:12+00:00,thankyou pdm for screwing my country n                  ,,Hillingdon,racism,Hillingdon,51.542519299999995,-0.44833493117949663
Cal,2022-12-27 17:46:04+00:00,sad cunt  hold anyway  sxr mwhdl  sxxkl dm,,London,sexism,London,51.5073359,-0.12765
Richard,2022-12-27 13:29:42+00:00,  i just think the range of sizes that wouldn t cause a woman any qualms is very wide,,Hammersmith,sexism,Hammersmith,51.4920377,-0.2236401
James Kim 🇬🇧🇰🇷🏴󠁧󠁢󠁷󠁬󠁳󠁿🇮🇪🇳🇿❤🇺🇦🌍📦,2022-12-27 13:26:39+00:00,  still russia is not good enough  russia may be banned from olympics  world cup  other major sporting events for at least next   to    years  state sponsored dopings followed by invading a neighbouring country should warrant ban russia on sports events for a century at least ,,Paddington,racism,Paddington,51.5154795,-0.175365
lvlyf,2022-12-27 12:43:25+00:00,   feminist       no o una go kill me tf,,Wandsworth,sexism,Wandsworth,51.4570271,-0.1932607
Gawain Towler,2022-12-27 10:43:53+00:00,  femin display bona fide pubes  not so much the merkin wearer ,,London,sexism,London,51.5073359,-0.12765
Ruth Robinson,2022-12-26 20:56:25+00:00, ian twatkins  ,,Islington,sexism,Islington,51.5384287,-0.0999051
⚜𝕲𝖔𝖔𝖓𝖊𝖗𝕷𝖔𝖛𝖊𝖗69⚜,2022-12-26 19:18:59+00:00,  little nob    ,,Croydon,disability,Croydon,51.3713049,-0.101957
O-ANT,2022-12-26 19:15:45+00:00, the taliban is not an islamic sect  it is just an evil organisation that should be wiped off the face of the earth  the taliban have forgotten that they are born of women  the taliban are just ignorant  stupid satan ,,Paddington,religion,Paddington,51.5154795,-0.175365
Kam Hong Leung,2022-12-26 17:58:55+00:00,a chinese spy tried to steal ge s secrets  instead he got caught by the us and gave the world an unprecedented glimpse into china s espionage apparatus  ,,Camberwell,racism,Camberwell,51.4745706,-0.0925416
Oliver Bolland,2022-12-26 16:42:56+00:00, cunt wants filling in,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
⚒ GEEDEE ⚒,2022-12-26 15:41:25+00:00,a women goalkeeper on  telling a  goalkeeper where he going wrong  is bloody laughable     ,,Bromley,sexism,Bromley,51.4028046,0.0148142
halle,2022-12-26 15:16:42+00:00, finest femme ever,,Lambeth,sexism,Lambeth,51.4952111,-0.1163354
Jorge Carreiras 🇵🇹🇬🇧🇮🇹,2022-12-26 14:54:16+00:00, freaking retarded s idiot s     ,,Barnet,disability,Barnet,51.65309,-0.2002261
⚜𝕲𝖔𝖔𝖓𝖊𝖗𝕷𝖔𝖛𝖊𝖗69⚜,2022-12-26 12:15:19+00:00,when men put  secret account  i either think they re on the run from the police or their wives  ,,Croydon,sexism,Croydon,51.3713049,-0.101957
Rayhan E. Asat,2022-12-26 09:09:58+00:00,the letter mentioned here by  from chinese state media has already got censored in china   n nhow i wish chinese law professors pen a letter calling for the chinese gov to close the xinjiang prison camps as not only it is illegal  amp  detrimental to ccp s own interests   ,,Camden Town,racism,Camden Town,51.5423045,-0.1395604
(((Debbie Simone)))🐳#SlavaUkraini,2022-12-25 21:24:43+00:00,as a female who doesnt wear ever make up      ,,Poplar,sexism,Poplar,51.5110713,-0.0144629
Huw Pryce,2022-12-25 18:38:08+00:00, bitches ,,Barnet,sexism,Barnet,51.65309,-0.2002261
peter jones,2022-12-25 16:52:20+00:00, twat,,Poplar,sexism,Poplar,51.5110713,-0.0144629
Rose Sinclair,2022-12-25 07:18:09+00:00,  but they are not performing femininity because there is no such thing ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
new2london,2022-12-25 00:25:10+00:00,  but seemed to fall over for no apparent reason  which seems to be a recurring theme in women s football  n nnot that i watch     of it,,Bromley,sexism,Bromley,51.4028046,0.0148142
📞Athos Paps📞,2022-12-24 22:41:41+00:00,whole of china is infected with covid again  disgusting country ,,Barnet,racism,Barnet,51.65309,-0.2002261
Akinbosola ogunsanya,2022-12-24 22:41:17+00:00,when a man makes money  his thought process consists of starting a family and raising his kids but when a woman makes money  she d be like  fuck it  i m independent  i don t need a man to get married  true or false ,,Croydon,sexism,Croydon,51.3713049,-0.101957
Rayhan E. Asat,2022-12-24 21:23:07+00:00,as many celebrate holidays including in china  i pray the chinese government to have a tiny bit of decency  it must free these children s parents allow them to leave china and reunite with their children  the world is watching  time and history will not forget this injustice ,,Camden Town,racism,Camden Town,51.5423045,-0.1395604
Rayhan E. Asat,2022-12-24 21:17:04+00:00,we the #uyghurs commemorate the    days anniversary after we lose someone  today is a month since this #urumqifire tragedy took place caused by china s covid policy  this girl lost her mother and siblings  her father and brother are in the prison camps   n n ,,Camden Town,racism,Camden Town,51.5423045,-0.1395604
‘Dirty’ Joe Stevens 🎃 AOIFE BIG DAY BEST DAY ❤️🎉,2022-12-24 20:37:48+00:00, tess,,Wandsworth,sexism,Wandsworth,51.4570271,-0.1932607
Burnley Dave:Not woke just human.💙🌈🍺🇪🇺,2022-12-24 17:37:49+00:00, cuntzone ,,Lewisham,sexism,Lewisham,51.4624292,-0.0101787
Watson,2022-12-24 17:32:58+00:00, why doesn t she want to eat  n nkids seem way to much hassle  especially girls n ni kind of envisaged that if i had a son by    he d just want to lay around and get pissed by that age  ,,Camberwell,sexism,Camberwell,51.4745706,-0.0925416
Aaron Hariz,2022-12-24 10:40:48+00:00,  stfu u lot abuse animals,,Paddington,racism,Paddington,51.5154795,-0.175365
Ruth Robinson,2022-12-24 09:21:03+00:00,china jail i wondered     ,,Islington,racism,Islington,51.5384287,-0.0999051
Ruth Robinson,2022-12-24 09:08:09+00:00,propaganda   it s a busy industry     let s all the unhappy people who don t like china move to the west thought the chinese government     they will get fat like man city football player  ,,Islington,racism,Islington,51.5384287,-0.0999051
Tim Robinson,2022-12-24 08:02:06+00:00, i don t  my female characters are better than my male ones  they have more interior life ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
⚜𝕲𝖔𝖔𝖓𝖊𝖗𝕷𝖔𝖛𝖊𝖗69⚜,2022-12-23 23:19:48+00:00, more than women          ,,Croydon,sexism,Croydon,51.3713049,-0.101957
Adil عادل,2022-12-23 23:01:30+00:00, no man can satisfy her  maximum   months,,Wandsworth,sexism,Wandsworth,51.4570271,-0.1932607
Teri Carson ☠️ 🇮🇪 💀 🇨🇮 ☠️,2022-12-23 20:46:46+00:00,women can just be friends  but ah cannot just be friends with anyone  she has to consume a person  and leave only the kernel   ,,Islington,sexism,Islington,51.5384287,-0.0999051
lucymaybe,2022-12-23 19:20:18+00:00,men are so confusing,,Poplar,sexism,Poplar,51.5110713,-0.0144629
FranCfc ⭐️⭐️🏴󠁧󠁢󠁳󠁣󠁴󠁿🇨🇦,2022-12-23 18:05:56+00:00,ffs them sausage roll twats are christmas number  ,,Croydon,sexism,Croydon,51.3713049,-0.101957
Floyd Codlin,2022-12-23 16:39:04+00:00,    the current guidelines are based upon medical and social assessments based upon an outmoded standard of  femininity ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Donnachadh McCarthy,2022-12-23 16:20:24+00:00,  illegal harassment of pregnant women by medieval cultists is truly disgusting  nleave them alone  go and pray in your sexist cult temples ,,Camberwell,religion,Camberwell,51.4745706,-0.0925416
Rana Brightman,2022-12-23 13:38:47+00:00,  job before wife  any man would ,,Lewisham,sexism,Lewisham,51.4624292,-0.0101787
Emancipated Serf,2022-12-23 13:35:57+00:00,   really intelligent lol ,,Hounslow,disability,Hounslow,51.4686132,-0.3613471
Tunji Bakre🇳🇬🇬🇧,2022-12-23 12:43:33+00:00, exactly  some men gt carried away easily and completely blind about the future,,London,sexism,London,51.5073359,-0.12765
Affy Scott,2022-12-23 10:15:16+00:00, the people from this murderous regime have to be thrown out of iran  totally unacceptable   ,,Poplar,racism,Poplar,51.5110713,-0.0144629
Nazanine Moshiri,2022-12-23 09:10:42+00:00,china lacked a  zero covid  exit plan  its people are paying the price   ,,Wandsworth,racism,Wandsworth,51.4570271,-0.1932607
MisogynoirSlayer👩🏾‍🦱 🇬🇧🇯🇲🇦🇬🇮🇪✡️✝️,2022-12-23 08:56:01+00:00,   there have been innumerable women s games commentated on by all male pundits  what should matter is the knowledge between their ears  not the biology between their legs ,,Hackney,sexism,Hackney,51.5432402,-0.0493621
Patrick Mougin 🇪🇺🇦🇺🇫🇷🏳️‍🌈🏳️‍⚧️,2022-12-23 07:49:46+00:00,  it s a man s job   ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Cameron Menzies,2022-12-23 07:08:15+00:00,chinese will sort everything ken  ,,Islington,racism,Islington,51.5384287,-0.0999051
hashibira inosuke,2022-12-22 21:30:36+00:00,stupid little cunt,,Islington,sexism,Islington,51.5384287,-0.0999051
Antonis Petrides,2022-12-22 19:49:35+00:00, hope the cunt punctured his lung ,,Barnet,sexism,Barnet,51.65309,-0.2002261
Johnny Hourigan,2022-12-22 19:30:02+00:00,t is the night we celebrate bluemas at stamford bridge for  playing against psg feminines for the last #uwcl under the lights  #cfcw #bluearmy        ,,Hammersmith,sexism,Hammersmith,51.4920377,-0.2236401
Jacobs Sepp Basil (III) 🤙🏾,2022-12-22 18:31:30+00:00,men are such simple beings     ,,Romford,sexism,Romford,51.5760462,0.1822646
The Real Islington,2022-12-22 18:30:27+00:00,the english   they will rub your nose in the shit till you smell it  ,,Lambeth,racism,Lambeth,51.4952111,-0.1163354
Watson,2022-12-22 17:36:09+00:00,i ve gonna be real with you  i cannot watch football like this n ni can not listen to a man describe a professional football match like it s an episode of he man  sosn c,,Camberwell,sexism,Camberwell,51.4745706,-0.0925416
Harlow Estate Agency,2022-12-22 16:49:24+00:00,  wives would be getting very good job offers,,Bromley,sexism,Bromley,51.4028046,0.0148142
Alpha 🦎,2022-12-22 16:44:50+00:00, men are just mad that the toys available for us all suck  no pun intended ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Fracien Cwa IX,2022-12-22 15:59:41+00:00, what s with women ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Dorothy Cohen,2022-12-22 14:46:36+00:00, it had better not be true you can monitor ppls bank accounts  do not even think of turning our country into a communist big brother country  this is not and never will be china,,Barnet,racism,Barnet,51.65309,-0.2002261
Chris Shepherd,2022-12-22 12:44:02+00:00, every time i see any fifa officials all i can think is twat and how much   is in the brown envelope,,Poplar,sexism,Poplar,51.5110713,-0.0144629
sue,2022-12-22 11:13:22+00:00,  women s football  ,,Croydon,sexism,Croydon,51.3713049,-0.101957
Chris 🏳️‍🌈🇪🇺,2022-12-22 11:00:13+00:00, kick her in the cunt ,,Lambeth,sexism,Lambeth,51.4952111,-0.1163354
Simon Jarrett 🇿🇦🇱🇺🇺🇦,2022-12-22 07:39:33+00:00,   except that there are no gods  and i m not going to live my life in a  christian death cult that worships an imaginary being who is apparently genocidal  homophobic and causes or allows little children to suffer  i pity you and your delusions of being  special  ,,Wandsworth,religion,Wandsworth,51.4570271,-0.1932607
Caroline Tapken,2022-12-22 06:15:22+00:00, let s hope they can t travel freely for chinese new year   or that will kick start the whole nightmare yet again,,London,racism,London,51.5073359,-0.12765
Robert Stephenson-Padron OBE | bob.pcc.eth 🇺🇦,2022-12-22 01:24:01+00:00,hi   move to moscow  you are a disgusting human being  i hope you like being the slave to reprobate putin because after him comes the devil ,,London,religion,London,51.5073359,-0.12765
FloFlo🇧🇪🇸🇮🇫🇷,2022-12-21 23:35:32+00:00,  sneaks and dirt femme  ,,Hammersmith,sexism,Hammersmith,51.4920377,-0.2236401
Shahid Saleem,2022-12-21 23:33:52+00:00, intellectually  smart   respect,,Bromley,disability,Bromley,51.4028046,0.0148142
mark emlyn evans,2022-12-21 21:51:46+00:00,absolute fucking idiots  #thetraitors,,Camberwell,disability,Camberwell,51.4745706,-0.0925416
unkle,2022-12-21 21:51:37+00:00,imagine a bitch walk up to you and pull a piece of yo hair out,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Anti Growth Coalition Member,2022-12-21 20:27:59+00:00,  bmw owners  utter bellends,,Islington,sexism,Islington,51.5384287,-0.0999051
Picket lines and picket signs,2022-12-21 18:37:40+00:00, hate that cunt ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Travel Man,2022-12-21 15:40:31+00:00,the vulgarity of female musicians in hip hop and r amp b is unmatched     ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Dawn Hardy,2022-12-21 15:18:16+00:00, what the f    is going on    why is a man in a woman s prison   ,,Hounslow,sexism,Hounslow,51.4686132,-0.3613471
James Kim 🇬🇧🇰🇷🏴󠁧󠁢󠁷󠁬󠁳󠁿🇮🇪🇳🇿❤🇺🇦🌍📦,2022-12-21 13:58:28+00:00,  i ve been to china many times  i don t mean           times as many  i found people in my age  amp  order know better than current generation  chinese people would say they re proud of but they can t say things in details  simplified chinese use made them hard to read old books  too ,,Paddington,racism,Paddington,51.5154795,-0.175365
James Kim 🇬🇧🇰🇷🏴󠁧󠁢󠁷󠁬󠁳󠁿🇮🇪🇳🇿❤🇺🇦🌍📦,2022-12-21 13:23:36+00:00,  up until early   th century  west took many chinese relics from china  but the destruction level by cultural revolution was so brutal  those which were parts of historical buildings were burnt  destroyed by red guards  i found most of chinese in prc don t know much about it ,,Paddington,racism,Paddington,51.5154795,-0.175365
James Kim 🇬🇧🇰🇷🏴󠁧󠁢󠁷󠁬󠁳󠁿🇮🇪🇳🇿❤🇺🇦🌍📦,2022-12-21 13:15:00+00:00,  chiang kai shek moved them from china ahead of ccp troops taking over of mainland china  that s why it is said that  true cultural relics are in taiwan  not in mainland china   mao s cultural revolution destroyed historical  cultural relics remained in china ,,Paddington,racism,Paddington,51.5154795,-0.175365
ᴛⷮhͪeͤ Vͮoͦiͥcͨeͤ oͦf J ᴋⷦUͧLCͨнⷩAͣ,2022-12-21 12:40:47+00:00,   i could never root for those savages  nhorrible folk,,Barnet,racism,Barnet,51.65309,-0.2002261
Marlene,2022-12-21 10:12:54+00:00,   go away mouthy   your vile vitriol is not needed  you get away with too much  if you dont like this country go find another one  or even better go back to your slave trading ancestral family ,,Camberwell,racism,Camberwell,51.4745706,-0.0925416
han🇵🇸,2022-12-21 09:46:50+00:00,men are fucking crazy  omd,,Camberwell,sexism,Camberwell,51.4745706,-0.0925416
Adil عادل,2022-12-21 07:26:42+00:00,  y don t u ask your wife to write such book as well  make more money  ,,Wandsworth,sexism,Wandsworth,51.4570271,-0.1932607
Truffles 🇪🇺🇲🇺 🇺🇦,2022-12-21 02:38:31+00:00,  another stupid cunt  this will bring short arse down,,Barnet,sexism,Barnet,51.65309,-0.2002261
Cal,2022-12-21 02:27:52+00:00,  th is just plain retarded wtf,,Romford,disability,Romford,51.5760462,0.1822646
James Kim 🇬🇧🇰🇷🏴󠁧󠁢󠁷󠁬󠁳󠁿🇮🇪🇳🇿❤🇺🇦🌍📦,2022-12-21 02:17:44+00:00, han chinese were ruled by other tribes han chinese considered as  barbarians   people s republic of china  prc  would be the second entity controlled by han chinese in the history  most of young chinese don t know its history before prc  traditions  etc so it is dare situation ,,Paddington,racism,Paddington,51.5154795,-0.175365
Shah Khan,2022-12-21 00:22:34+00:00,  really  nwill you trust imported government  puppet army  amp  their un trustworthiness  team   shg unlm,,London,racism,London,51.5073359,-0.12765
Dorothy Cohen,2022-12-20 22:26:37+00:00, more chinese scare tactics ,,Barnet,racism,Barnet,51.65309,-0.2002261
Meg Swanick,2022-12-20 21:31:15+00:00, women are statistically more likely to have this injury  but yes  all humans are prone,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
amit ghorpade,2022-12-20 20:32:21+00:00,stop flights from china immediately   this can spread next level covid   n    shpanp,,Croydon,racism,Croydon,51.3713049,-0.101957
Fred Price #REJOIN,2022-12-20 20:29:00+00:00, what a twat,,Barnet,sexism,Barnet,51.65309,-0.2002261
Donnachadh McCarthy,2022-12-20 19:45:38+00:00, religious  patriarchy is truly a vile cancer on humanity    whether islam  christian or jewish etc  nit is the enemy of freedom  amp  its misogyny  amp  homophobia are despicable    ,,Camberwell,religion,Camberwell,51.4745706,-0.0925416
Jorge Carreiras 🇵🇹🇬🇧🇮🇹,2022-12-20 19:45:38+00:00, definitely not  nob    ,,Barnet,disability,Barnet,51.65309,-0.2002261
mistressRhi💦,2022-12-20 16:42:00+00:00, pathetic faggot,,London,sexual_orientation,London,51.5073359,-0.12765
Eddie Edwards. 🐀 @RomulanAle@mas.to,2022-12-20 15:49:37+00:00, left  mushroom head creature  ludicrous  nright  mushroom head creature  grounded   ,,Wandsworth,disability,Wandsworth,51.4570271,-0.1932607
"As | No mud, no lotus",2022-12-20 15:40:07+00:00,as you fucking should  go get their racist ass  ,,Camberwell,racism,Camberwell,51.4745706,-0.0925416
Raven Adams,2022-12-20 09:29:57+00:00,i m completely convinced if a man doesn t have any social media  it s the biggest    ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
Simon Jarrett 🇿🇦🇱🇺🇺🇦,2022-12-20 08:04:10+00:00,i think that s called  moving the goalposts  elon my china   ,,Wandsworth,racism,Wandsworth,51.4570271,-0.1932607
"jane Gray, 💜WOMAN adult human female🇺🇦",2022-12-20 03:09:35+00:00,men dont have a vagina,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
"jane Gray, 💜WOMAN adult human female🇺🇦",2022-12-20 02:30:58+00:00,twat  ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
MoMo,2022-12-19 23:59:56+00:00,some women have zero shame           ,,Hammersmith,sexism,Hammersmith,51.4920377,-0.2236401
Fred Price #REJOIN,2022-12-19 20:43:36+00:00, fucking evil barbarian dictators ,,Barnet,racism,Barnet,51.65309,-0.2002261
chelsea 🐉,2022-12-19 20:07:09+00:00,some men aren t good people ,,Hackney,sexism,Hackney,51.5432402,-0.0493621
That Golden Cockerel💙,2022-12-19 19:40:02+00:00, chinese take away ,,Paddington,racism,Paddington,51.5154795,-0.175365
Watson,2022-12-19 14:06:08+00:00,russia need to get these guys finished off in     ,,Camberwell,racism,Camberwell,51.4745706,-0.0925416
"jane Gray, 💜WOMAN adult human female🇺🇦",2022-12-19 13:53:12+00:00,nasty spiteful misogynistic tit we see through this  ,,Camden Town,sexism,Camden Town,51.5423045,-0.1395604
🏏,2022-12-19 09:17:21+00:00,sometimes agnew comes across as such a twat ,,Bromley,sexism,Bromley,51.4028046,0.0148142
D͜͡ⱤØ₩ⱫY͜͡💨#ItsNotDat™😈💷🇬🇧🇯🇲🌊🎶🎨🤹🏾‍♂️💯,2022-12-19 05:57:48+00:00,fuck bitches get money     forget the gyalies mi want rass money             ,,Hackney,sexism,Hackney,51.5432402,-0.0493621
Cal,2022-12-19 01:46:32+00:00, yh thats just retarded,,Romford,disability,Romford,51.5760462,0.1822646
Neil A.Evans,2022-12-18 20:43:26+00:00, desperately stupid ,,Camberwell,disability,Camberwell,51.4745706,-0.0925416
TheDollar,2022-12-18 19:42:59+00:00,i just can t fuck with these rat ass bitches  they be doing it for clout,,London,sexism,London,51.5073359,-0.12765
Gemma,2022-12-18 18:54:51+00:00,karen carney has to stop comparing this to the lionesses euro win  some dumb and unnecessary comments        i would call them out if a man made them  so calling them out when a women does ,,Lambeth,sexism,Lambeth,51.4952111,-0.1163354
Dee-one 🇬🇧🇳🇬,2022-12-18 18:21:39+00:00,the only thing that can make a man cry aside woman is football  what a game    scoring an hat trick yet not winning the game  n cup euphoria is over  congratulations       messi less messi  st,,Lambeth,sexism,Lambeth,51.4952111,-0.1163354
